,t+1,t+2,t+3,t+4,t+5,t+6,t+7,t+8,t+9,t+10,t+11,t+12
fold1,0.0031183684265170602,0.003693337906145374,0.004217143348995164,0.00462474878934302,0.005165019558632476,0.005641948928491251,0.0060956406215460545,0.006410923475149868,0.006715899724822766,0.00707459075656995,0.007310780069053873,0.007648320556264066
fold2,0.0024444065245553676,0.0025709082304104804,0.002767603734885283,0.0030184721283003646,0.0033749277385990628,0.0038929907663025937,0.004351409523548957,0.004343951760469159,0.005047273886961462,0.005442339687868784,0.00628585717456041,0.006505902416349903
fold3,0.003221741041487892,0.0038943608364459424,0.004594707292356513,0.005241152338902963,0.005752494778214949,0.006361164171302255,0.006828352780694338,0.0071086899928020685,0.007500418237419166,0.007896578717862162,0.008203190398411806,0.00855494575591246
fold4,0.0021646814587975745,0.0028281882062010546,0.003281097581407967,0.0038637812608801367,0.004357371426561112,0.004780251836091525,0.005109100944067423,0.005470003264964468,0.005756083584607278,0.006007645068208166,0.006297118215391598,0.006547487176596374
fold5,0.021221265907395783,0.021915444325993624,0.023728458848024027,0.024390478231613433,0.028423825641361426,0.029347977675880224,0.030983649521942082,0.029831362372405183,0.03366002905101652,0.038687203756857816,0.03782183074596798,0.04025306074058235
fold6,0.028164855314949735,0.02685341319089409,0.03132072733103837,0.031198077849539166,0.03486970472656235,0.03515051374498159,0.03913770451115854,0.039657976847072174,0.04138655749998831,0.044729556230598676,0.04363474106216675,0.047074235037549074
fold7,0.013464452705618078,0.0172725528303112,0.020452049906227832,0.023163607835361387,0.025719598984455513,0.027889029048237642,0.02980277696691596,0.03165512019950477,0.03326607298923347,0.03478734665605389,0.036224621626773146,0.03757537204199227
fold8,0.006984011247423289,0.009052822103391811,0.010767178194349108,0.012278819522070163,0.01358133825191584,0.014766177358627395,0.01573196381434002,0.01668054250889273,0.017479428694091272,0.018366777800236555,0.01920985986341257,0.02018350441593221
fold9,0.00470702498281635,0.006010409822979308,0.007047669521258993,0.008105154950292326,0.008933866274535508,0.00985586750048284,0.010604815924393234,0.011566506079869268,0.01236739170564862,0.012960223078625042,0.013730556384640035,0.014232048182456186
fold10,0.0040100939590521295,0.005258012855043541,0.006223167903793647,0.007148259073853505,0.007977871682492074,0.008710666600196365,0.00934441452758128,0.009957344644111655,0.010541432008025648,0.011181621659364139,0.011786432707984757,0.012326963132746234
